T17,Labour force participation and unemployment,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
202,Sub-Saharan Africa,2010,Labour force participation - Male,73.9,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
202,Sub-Saharan Africa,2010,Unemployment rate - Male,5.3,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
202,Sub-Saharan Africa,2010,Labour force participation - Female,63.3,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
202,Sub-Saharan Africa,2010,Unemployment rate - Female,6.0,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
202,Sub-Saharan Africa,2015,Labour force participation - Total,67.2,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
202,Sub-Saharan Africa,2015,Unemployment rate - Total,5.5,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
202,Sub-Saharan Africa,2015,Labour force participation - Male,72.7,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
202,Sub-Saharan Africa,2015,Unemployment rate - Male,5.2,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
202,Sub-Saharan Africa,2015,Labour force participation - Female,61.9,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
202,Sub-Saharan Africa,2015,Unemployment rate - Female,5.7,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
202,Sub-Saharan Africa,2023,Labour force participation - Total,67.6,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023."
